"Order_ID","Order_Date","Customer_ID","Region","Country","Category","Subcategory","Quantity","Unit_Price","Discount","Revenue","Profit","Payment_Method","Shipping_Mode"
100001,2024-04-04,"C2697","Asia-Pacific","South Korea","Electronics","Television",4,1325,0.27,3869,1105.83,"PayPal","Same-Day"
100002,2023-10-06,"C2173","South America","Brazil","Electronics","Television",8,1558,0.01,12339.36,1262.3,"PayPal","Same-Day"
100003,2024-05-24,"C2141","North America","Canada","Clothing","Shirt",6,259,0.05,1476.3,562.7,"Bank Transfer","Express"
100004,2023-07-06,"C2182","Asia-Pacific","India","Clothing","Jacket",6,165,0.15,841.5,203.95,"Bank Transfer","Standard"
100005,2023-09-23,"C2855","South America","Brazil","Furniture","Chair",5,370,0.24,1406,462.18,"Credit Card","Standard"
100006,2024-04-05,"C2580","North America","Mexico","Furniture","Lamp",5,557,0.29,1977.35,741.94,"Bank Transfer","Express"
100007,2024-06-22,"C1428","Europe","Spain","Clothing","Jacket",7,181,0.11,1127.63,280.64,"Credit Card","Express"
100008,2024-01-08,"C1491","South America","Brazil","Electronics","Smartphone",3,1705,0.14,4398.9,1538.25,"Credit Card","Express"
100009,2024-02-11,"C1485","Europe","France","Electronics","Laptop",7,1027,0.1,6470.1,2558.28,"Credit Card","Express"
100010,2024-07-24,"C2024","North America","Canada","Electronics","Smartphone",4,1876,0.11,6678.56,1004.41,"Bank Transfer","Same-Day"
100011,2023-06-08,"C1283","South America","Brazil","Furniture","Lamp",5,112,0.14,481.6,98.16,"PayPal","Standard"
100012,2023-05-22,"C2767","North America","Canada","Furniture","Sofa",6,644,0.26,2859.36,534.77,"Bank Transfer","Standard"
100013,2024-07-02,"C2400","South America","Chile","Clothing","Pants",9,65,0.18,479.7,143.06,"Credit Card","Standard"
100014,2024-07-28,"C2794","South America","Brazil","Furniture","Chair",5,129,0.17,535.35,94.58,"Bank Transfer","Standard"
100015,2024-09-21,"C1657","Europe","Germany","Furniture","Lamp",1,1314,0.26,972.36,338.22,"Credit Card","Standard"
100016,2023-03-29,"C2584","Asia-Pacific","Australia","Electronics","Smartphone",8,1989,0.22,12411.36,4164.6,"Credit Card","Express"
100017,2023-07-14,"C2884","South America","Argentina","Electronics","Television",8,1141,0.07,8489.04,3360.24,"Credit Card","Standard"
100018,2024-11-16,"C1997","North America","Mexico","Electronics","Television",4,945,0.06,3553.2,1297.27,"Bank Transfer","Same-Day"
100019,2024-01-06,"C1421","North America","United States","Clothing","Shoes",7,293,0.18,1681.82,423.3,"Bank Transfer","Same-Day"
100020,2023-11-02,"C2641","Europe","Italy","Furniture","Lamp",10,885,0.17,7345.5,1821.4,"Bank Transfer","Same-Day"
100021,2023-02-28,"C2027","Asia-Pacific","Japan","Electronics","Smartphone",10,1147,0.07,10667.1,1963.39,"Bank Transfer","Express"
