order_id,order_date,year,month,quarter,customer_id,region,country,category,subcategory,quantity,unit_price,discount,revenue,profit,aov,profit_margin,payment_method,shipping_mode
100001,2024-04-04,2024,Apr,Q2,C2697,Asia-Pacific,South Korea,Electronics,Television,4,1325,0.27,3869,1105.83,967.25,0.2858180408374257,PayPal,Same-Day
100002,2023-10-06,2023,Oct,Q4,C2173,South America,Brazil,Electronics,Television,8,1558,0.01,12339.36,1262.3,1542.42,0.10229866054641407,PayPal,Same-Day
100003,2024-05-24,2024,May,Q2,C2141,North America,Canada,Clothing,Shirt,6,259,0.05,1476.3,562.7,246.04999999999998,0.3811555916819075,Bank Transfer,Express
100004,2023-07-06,2023,Jul,Q3,C2182,Asia-Pacific,India,Clothing,Jacket,6,165,0.15,841.5,203.95,140.25,0.24236482471776588,Bank Transfer,Standard
100005,2023-09-23,2023,Sep,Q3,C2855,South America,Brazil,Furniture,Chair,5,370,0.24,1406,462.18,281.2,0.3287197724039829,Credit Card,Standard
100006,2024-04-05,2024,Apr,Q2,C2580,North America,Mexico,Furniture,Lamp,5,557,0.29,1977.35,741.94,395.46999999999997,0.3752193592434319,Bank Transfer,Express
100007,2024-06-22,2024,Jun,Q2,C1428,Europe,Spain,Clothing,Jacket,7,181,0.11,1127.63,280.64,161.09,0.24887596108652657,Credit Card,Express
100008,2024-01-08,2024,Jan,Q1,C1491,South America,Brazil,Electronics,Smartphone,3,1705,0.14,4398.9,1538.25,1466.3,0.3496896951510605,Credit Card,Express
100009,2024-02-11,2024,Feb,Q1,C1485,Europe,France,Electronics,Laptop,7,1027,0.1,6470.1,2558.28,924.3000000000001,0.3954003802105068,Credit Card,Express
100010,2024-07-24,2024,Jul,Q3,C2024,North America,Canada,Electronics,Smartphone,4,1876,0.11,6678.56,1004.41,1669.64,0.15039319853381566,Bank Transfer,Same-Day
100011,2023-06-08,2023,Jun,Q2,C1283,South America,Brazil,Furniture,Lamp,5,112,0.14,481.6,98.16,96.32000000000001,0.2038205980066445,PayPal,Standard
100012,2023-05-22,2023,May,Q2,C2767,North America,Canada,Furniture,Sofa,6,644,0.26,2859.36,534.77,476.56,0.18702436908958647,Bank Transfer,Standard
100013,2024-07-02,2024,Jul,Q3,C2400,South America,Chile,Clothing,Pants,9,65,0.18,479.7,143.06,53.3,0.29822805920366896,Credit Card,Standard
100014,2024-07-28,2024,Jul,Q3,C2794,South America,Brazil,Furniture,Chair,5,129,0.17,535.35,94.58,107.07000000000001,0.17666946857196225,Bank Transfer,Standard
100015,2024-09-21,2024,Sep,Q3,C1657,Europe,Germany,Furniture,Lamp,1,1314,0.26,972.36,338.22,972.36,0.3478341355053684,Credit Card,Standard
100016,2023-03-29,2023,Mar,Q1,C2584,Asia-Pacific,Australia,Electronics,Smartphone,8,1989,0.22,12411.36,4164.6,1551.42,0.33554743396372355,Credit Card,Express
100017,2023-07-14,2023,Jul,Q3,C2884,South America,Argentina,Electronics,Television,8,1141,0.07,8489.04,3360.24,1061.13,0.3958327443385824,Credit Card,Standard
100018,2024-11-16,2024,Nov,Q4,C1997,North America,Mexico,Electronics,Television,4,945,0.06,3553.2,1297.27,888.3,0.36509906563098055,Bank Transfer,Same-Day
100019,2024-01-06,2024,Jan,Q1,C1421,North America,United States,Clothing,Shoes,7,293,0.18,1681.82,423.3,240.26,0.2516916197928435,Bank Transfer,Same-Day
100020,2023-11-02,2023,Nov,Q4,C2641,Europe,Italy,Furniture,Lamp,10,885,0.17,7345.5,1821.4,734.55,0.2479613368729154,Bank Transfer,Same-Day
100021,2023-02-28,2023,Feb,Q1,C2027,Asia-Pacific,Japan,Electronics,Smartphone,10,1147,0.07,10667.1,1963.39,1066.71,0.18406033504888863,Bank Transfer,Express
100022,2023-11-13,2023,Nov,Q4,C1075,North America,Mexico,Electronics,Smartphone,1,1256,0.11,1117.84,255.34,1117.84,0.22842267229657198,PayPal,Express
